"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"160","tt0071272","Sun Jan 15 18:48:17 2012","Sun Jan 15 18:48:17 2012","","Can Ellen Be Saved?","TV Movie","Harvey Hart","5.6","90","1974","drama","36","1974-02-05","http://www.imdb.com/title/tt0071272/"
"161","tt0071993","Sun Jan 15 18:48:33 2012","Sun Jan 15 18:48:33 2012","","The Phantom of Hollywood","TV Movie","Gene Levitt","6.1","74","1974","drama, horror, thriller","174","1974-02-12","http://www.imdb.com/title/tt0071993/"
"162","tt0072219","Sun Jan 15 18:48:48 2012","Sun Jan 15 18:48:48 2012","","The Stranger Within","TV Movie","Lee Philips","6.3","74","1974","horror, mystery, sci_fi","258","1974-10-01","http://www.imdb.com/title/tt0072219/"
"163","tt0071769","Sun Jan 15 18:48:59 2012","Sun Jan 15 18:48:59 2012","","Locusts","TV Movie","Richard T. Heffron","4.7","74","1974","drama, horror","108","1974-10-09","http://www.imdb.com/title/tt0071769/"
"164","tt0071965","Sun Jan 15 18:49:23 2012","Sun Jan 15 18:49:23 2012","","Panic on the 5:22","TV Movie","Harvey Hart","5.3","73","1974","action, crime, thriller, drama","26","1974-11-20","http://www.imdb.com/title/tt0071965/"
"165","tt0072070","Sun Jan 15 18:49:36 2012","Sun Jan 15 18:49:36 2012","","Reflections of Murder","TV Movie","John Badham","7.2","100","1974","horror, thriller, mystery","178","1974-11-24","http://www.imdb.com/title/tt0072070/"
"166","tt0071848","Sun Jan 15 18:49:48 2012","Sun Jan 15 18:49:48 2012","","The Missing Are Deadly","TV Movie","Don McDougall","6.2","73","1975","thriller","39","1975-01-08","http://www.imdb.com/title/tt0071848/"
"167","tt0071401","Sun Jan 15 18:49:59 2012","Sun Jan 15 18:49:59 2012","","Death Stalk","TV Movie","Robert Day","5.9","73","1975","crime, drama","62","1975-01-21","http://www.imdb.com/title/tt0071401/"
"168","tt0073454","Sun Jan 15 18:50:17 2012","Sun Jan 15 18:50:17 2012","","The Night That Panicked America","TV Movie","Joseph Sargent","7.1","92","1975","drama","517","1975-10-31","http://www.imdb.com/title/tt0073454/"
"169","tt0066133","Sun Jan 15 18:50:35 2012","Sun Jan 15 18:50:35 2012","","The Neon Ceiling","TV Movie","Frank Pierson","8.2","100","1971","drama","112","1971-02-08","http://www.imdb.com/title/tt0066133/"
"170","tt0077223","Sun Jan 15 18:51:02 2012","Sun Jan 15 18:51:02 2012","","The Bermuda Depths","TV Movie","Tom Kotani","6.1","98","1978","adventure, fantasy, sci_fi, thriller","467","1978-01-27","http://www.imdb.com/title/tt0077223/"
