"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Saint Jack","Feature Film","Peter Bogdanovich",7.1,112,"1979",872,"1979-04-27","http://www.imdb.com/title/tt0079843/","0079843","Saint Jack",1979,"Drama","R","112","Fresh",62,"Upright",74,"Ben Gazzara","Denholm Elliott","James Villiers","Joss Ackland","Rodney Bewes","Peter Bogdanovich","New Concorde Home Entertainment","http://www.rottentomatoes.com/m/saint_jack/"
"Dreamer: Inspired by a True Story","Feature Film","John Gatins",6.9,106,"2005",9623,"2005-09-10","http://www.imdb.com/title/tt0418647/","0418647","Dreamer: Inspired by a True Story",2005,"Drama","PG","98","Fresh",64,"Upright",78,"Kurt Russell","Dakota Fanning","Kris Kristofferson","Elisabeth Shue","Luis Guzman","John Gatins","Dreamworks","http://www.rottentomatoes.com/m/dreamer/"
"Cruel Intentions","Feature Film","Roger Kumble",6.9,97,"1999",142231,"1999-03-05","http://www.imdb.com/title/tt0139134/","0139134","Cruel Intentions",1999,"Drama","R","94","Rotten",49,"Upright",81,"Ryan Phillippe","Sarah Michelle Gellar","Reese Witherspoon","Selma Blair","Louise Fletcher","Roger Kumble","Columbia Pictures","http://www.rottentomatoes.com/m/cruel_intentions/"
"Tormented","Feature Film","Jon Wright",5.2,91,"2009",5255,"2009-05-22","http://www.imdb.com/title/tt1100053/","1100053","Tormented",2009,"Horror","R","91","Fresh",70,"Spilled",33,"Alex Pettyfer","April Pearson","Chris Wilson","Dimitri Leonidas","Calvin Dean","Jon Wright","Pathe Distribution","http://www.rottentomatoes.com/m/10011243-tormented/"
"Dead Man Walking","Feature Film","Tim Robbins",7.6,122,"1995",70319,"1995-12-29","http://www.imdb.com/title/tt0112818/","0112818","Dead Man Walking",1995,"Mystery & Suspense","R","120","Certified Fresh",95,"Upright",86,"Susan Sarandon","Sean Penn","Robert Prosky","Raymond J. Barry","R. Lee Ermey","Tim Robbins","Gramercy Pictures","http://www.rottentomatoes.com/m/1068779-dead_man_walking/"
"Your Friends & Neighbors","Feature Film","Neil LaBute",6.4,100,"1998",6945,"1998-08-19","http://www.imdb.com/title/tt0119517/","0119517","Your Friends & Neighbors",1998,"Drama","R","91","Certified Fresh",77,"Upright",63,"Amy Brenneman","Aaron Eckhart","Catherine Keener","Nastassja Kinski","Jason Patric","Neil LaBute","Gramercy","http://www.rottentomatoes.com/m/your_friends_and_neighbors/"
"Cleanskin","Feature Film","Hadi Hajaig",6.3,108,"2012",16940,"2012-03-09","http://www.imdb.com/title/tt1598873/","1598873","Cleanskin",2012,"Mystery & Suspense","Unrated","108","Rotten",53,"Upright",66,"Sean Bean","Abhin Galeya","Charlotte Rampling","Peter Polycarpou","Tuppence Middleton","Hadi Hajaig","Warner Bros. Pictures","http://www.rottentomatoes.com/m/cleanskin/"
"Time Bandits","Feature Film","Terry Gilliam",7,116,"1981",43338,"1981-07-10","http://www.imdb.com/title/tt0081633/","0081633","Time Bandits",1981,"Action & Adventure","PG","110","Certified Fresh",91,"Upright",77,"John Cleese","Sean Connery","Shelley Duvall","Katherine Helmond","Ian Holm","Terry Gilliam","Paramount Home Video","http://www.rottentomatoes.com/m/time_bandits/"
"Frozen River","Feature Film","Courtney Hunt",7.2,97,"2008",21158,"2008-01-18","http://www.imdb.com/title/tt0978759/","0978759","Frozen River",2008,"Drama","R","97","Certified Fresh",88,"Upright",74,"Melissa Leo","Misty Upham","Charlie McDermott","Michael O'Keefe","James Reilly","Courtney Hunt","Sony Pictures Classics","http://www.rottentomatoes.com/m/frozen_river/"
"Gypsy","TV Movie","Emile Ardolino",7.3,153,"1993",1213,"1993-12-12","http://www.imdb.com/title/tt0107065/","0107065","Gypsy",1993,"Musical & Performing Arts","Unrated","142","Rotten",40,"Upright",76,"Bette Midler","Peter Riegert","Cynthia Gibb","Jennifer Rae Beck","Edward Asner","Emile Ardolino","Cabin Fever Entertainment","http://www.rottentomatoes.com/m/1045328-gypsy/"
"Shottas","Feature Film","Cess Silvera",6.1,95,"2002",3223,"2002-02-27","http://www.imdb.com/title/tt0281190/","0281190","Shottas",2006,"Drama","R","95","Rotten",19,"Upright",91,"Ky-Mani Marley","Paul Campbell","Spragga Benz","Tyson Beckford","Wyclef Jean","Cess Silvera","Sony Pictures","http://www.rottentomatoes.com/m/shottas/"
"Islands in the Stream","Feature Film","Franklin J. Schaffner",6.6,104,"1977",964,"1977-03-09","http://www.imdb.com/title/tt0076211/","0076211","Islands in the Stream",1977,"Drama","PG","104","Fresh",80,"Upright",67,"George C. Scott","Claire Bloom","David Hemmings","Gilbert Roland","Susan Tyrrell","Franklin J. Schaffner","Paramount Pictures","http://www.rottentomatoes.com/m/1010762-islands_in_the_stream/"
"Kill Bill: Vol. 2","Feature Film","Quentin Tarantino",8,137,"2004",473208,"2004-04-16","http://www.imdb.com/title/tt0378194/","0378194","Kill Bill: Volume 2",2004,"Drama","R","137","Certified Fresh",84,"Upright",89,"Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah","Gordon Liu","Quentin Tarantino","Miramax Films","http://www.rottentomatoes.com/m/kill_bill_volume_2/"
"A Far Off Place","Feature Film","Mikael Salomon",6.6,100,"1993",2714,"1993-03-12","http://www.imdb.com/title/tt0106868/","0106868","A Far Off Place",1993,"Action & Adventure","PG","107","Rotten",40,"Upright",70,"Reese Witherspoon","Sarel Bok","Jack Thompson","Maximilian Schell","Robert John Burke","Mikael Salomon","Buena Vista Pictures","http://www.rottentomatoes.com/m/far_off_place/"
"The Flamingo Kid","Feature Film","Garry Marshall",6.2,100,"1984",3807,"1984-12-21","http://www.imdb.com/title/tt0087265/","0087265","The Flamingo Kid",1984,"Drama","PG-13","105","Fresh",88,"Spilled",55,"Matt Dillon","Richard Crenna","Hector Elizondo","Molly McCarthy","Martha Gehman","Garry Marshall","Live Home Video","http://www.rottentomatoes.com/m/flamingo_kid/"
"The Black Bird","Feature Film","David Giler",5.3,110,"1975",362,"1975-12-25","http://www.imdb.com/title/tt0072706/","0072706","The Black Bird",1975,"Comedy","PG","98",NA,-1,"Spilled",43,"George Segal","Stephane Audran","Lionel Stander","Lee Patrick","Elisha Cook Jr.","David Giler","Columbia Pictures","http://www.rottentomatoes.com/m/black_bird/"
"The Flight of Dragons","Feature Film","Jules Bass, Arthur Rankin Jr.",7.8,96,"1982",4249,"1982-08-17","http://www.imdb.com/title/tt0083951/","0083951","The Flight of Dragons",1982,"Action & Adventure","Unrated","96",NA,-1,NA,92,"Victor Buono","Don McLean","James Earl Jones","Harry Morgan","John Ritter","Jules Bass","Warner Bros. Pictures","http://www.rottentomatoes.com/m/flight_of_dragons/"
"Brannigan","Feature Film","Douglas Hickox",6.1,111,"1975",3591,"1975-03-21","http://www.imdb.com/title/tt0072732/","0072732","Brannigan",1975,"Drama","R","111","Rotten",17,"Spilled",40,"John Wayne","Richard Attenborough","Judy Geeson","Mel Ferrer","Del Henney","Douglas Hickox","MGM Home Entertainment","http://www.rottentomatoes.com/m/brannigan/"
"Unforgiven","Feature Film","Clint Eastwood",8.3,131,"1992",256631,"1992-08-03","http://www.imdb.com/title/tt0105695/","0105695","Unforgiven",1992,"Western","R","131","Certified Fresh",95,"Upright",94,"Clint Eastwood","Gene Hackman","Morgan Freeman","Richard Harris","Saul Rubinek","Clint Eastwood","Warner Bros. Pictures","http://www.rottentomatoes.com/m/1041911-unforgiven/"
"The Adventures of Priscilla, Queen of the Desert","Feature Film","Stephan Elliott",7.5,104,"1994",34721,"1994-01-30","http://www.imdb.com/title/tt0109045/","0109045","The Adventures of Priscilla, Queen of the Desert",1994,"Drama","R","102","Fresh",93,"Upright",88,"Terence Stamp","Hugo Weaving","Guy Pearce","Bill Hunter","Sarah Chadwick","Stephan Elliott","Fox Home Entertainment","http://www.rottentomatoes.com/m/adventures_of_priscilla_queen_of_the_desert/"
"A Bronx Tale","Feature Film","Robert De Niro",7.8,121,"1993",92985,"1993-09-09","http://www.imdb.com/title/tt0106489/","0106489","A Bronx Tale",1993,"Drama","R","81","Fresh",96,"Upright",93,"Robert De Niro","Chazz Palminteri","Lillo Brancato Jr.","Francis Capra","Taral Hicks","Robert De Niro","HBO Video","http://www.rottentomatoes.com/m/bronx_tale/"
"Mars Attacks!","Feature Film","Tim Burton",6.3,106,"1996",162357,"1996-12-12","http://www.imdb.com/title/tt0116996/","0116996","Mars Attacks!",1996,"Action & Adventure","PG-13","108","Rotten",52,"Spilled",53,"Jack Nicholson","Glenn Close","Annette Bening","Pierce Brosnan","Martin Short","Tim Burton","Warner Home Video","http://www.rottentomatoes.com/m/mars_attacks/"
"Held Up","Feature Film","Steve Rash",5.1,89,"1999",2772,"1999-10-08","http://www.imdb.com/title/tt0165831/","0165831","Held Up",2000,"Comedy","PG-13","89","Rotten",17,"Spilled",43,"Jamie Foxx","Nia Long","Barry Corbin","John Cullum","Jake Busey","Steve Rash","Trimark","http://www.rottentomatoes.com/m/held_up/"
"The Dollmaker","TV Movie","Daniel Petrie",7.9,142,"1984",539,"1984-05-13","http://www.imdb.com/title/tt0087160/","0087160","The Dollmaker",1984,"Drama","Unrated","140",NA,-1,"Upright",92,"Jane Fonda","Levon Helm","Geraldine Page","Susan Kingsley","Jason Yearwood","Daniel Petrie Sr","Twentieth Century Fox Home Entertainment","http://www.rottentomatoes.com/m/dollmaker/"
"Electric Slide","Feature Film","Tristan Patterson",4.7,95,"2014",370,"2014-04-22","http://www.imdb.com/title/tt0835775/","0835775","Electric Slide",2015,"Drama","R","95","Rotten",14,"Spilled",24,"Jim Sturgess","Chloe Sevigny","Isabel Lucas","Patricia Arquette","Vinessa Shaw","Tristan Patterson","Paragon Pictures","http://www.rottentomatoes.com/m/electric_slide/"
"Punisher: War Zone","Feature Film","Lexi Alexander",6,103,"2008",45735,"2008-12-04","http://www.imdb.com/title/tt0450314/","0450314","Punisher: War Zone",2008,"Drama","R","102","Rotten",27,"Spilled",42,"Ray Stevenson","Dominic West","Dash Mihok","Julie Benz","Wayne Knight","Lexi Alexander","Lionsgate","http://www.rottentomatoes.com/m/punisher_war_zone/"
"Madea Goes to Jail","Feature Film","Tyler Perry",4.1,103,"2009",9301,"2009-02-16","http://www.imdb.com/title/tt1142800/","1142800","Madea Goes to Jail",2009,"Drama","PG-13","102","Rotten",29,"Upright",70,"Tyler Perry","Derek Luke","Keshia Knight Pulliam","Ion Overman","Sofia Vergara","Tyler Perry","Lionsgate","http://www.rottentomatoes.com/m/madea-goes-to-jail/"
"Prey for Rock & Roll","Feature Film","Alex Steyermark",6.3,104,"2003",1719,"2003-01-20","http://www.imdb.com/title/tt0307351/","0307351","Prey for Rock & Roll",2003,"Musical & Performing Arts","R","104","Rotten",55,"Upright",63,"Gina Gershon","Drea de Matteo","Lori Petty","Shelly Cole","Marc Blucas","Alex Steyermark","Mac Releasing","http://www.rottentomatoes.com/m/prey_for_rock_and_roll/"
"Son of the Mask","Feature Film","Lawrence Guterman",2.1,94,"2005",37849,"2005-02-11","http://www.imdb.com/title/tt0362165/","0362165","Son of the Mask",2005,"Science Fiction & Fantasy","PG","95","Rotten",6,"Spilled",15,"Jamie Kennedy","Alan Cumming","Bob Hoskins","Traylor Howard","Ben Stein","Lawrence Guterman","New Line Cinema","http://www.rottentomatoes.com/m/son_of_the_mask/"
"Anna Karenina","Feature Film","Joe Wright",6.6,129,"2012",64824,"2012-09-07","http://www.imdb.com/title/tt1781769/","1781769","Anna Karenina",2012,"Drama","R","130","Fresh",63,"Spilled",50,"Keira Knightley","Jude Law","Aaron Taylor-Johnson","Matthew MacFadyen","Domhnall Gleeson","Joe Wright","Focus Features","http://www.rottentomatoes.com/m/anna_karenina_2012/"
"Cars","Feature Film","John Lasseter, Joe Ranft",7.2,117,"2006",237649,"2006-03-14","http://www.imdb.com/title/tt0317219/","0317219","Cars",2006,"Action & Adventure","G","116","Certified Fresh",74,"Upright",80,"Owen Wilson","Paul Newman","Bonnie Hunt","Larry The Cable Guy","Cheech Marin","John Lasseter","Buena Vista","http://www.rottentomatoes.com/m/cars/"
"Death Bed: The Bed That Eats","Feature Film","George Barry",4.6,77,"1977",1312,"1977","http://www.imdb.com/title/tt0385639/","0385639","Death Bed: The Bed That Eats",1977,"Horror","R","80",NA,-1,"Spilled",31,"Julie Ritter","William Russ","Patrick Spence-Thomas","Linda Bond","Demene Hall","George Barry",NA,"http://www.rottentomatoes.com/m/death_bed_the_bed_that_eats/"
"Tiny Furniture","Feature Film","Lena Dunham",6.3,98,"2010",10926,"2010-03-15","http://www.imdb.com/title/tt1570989/","1570989","Tiny Furniture",2010,"Comedy","Unrated","98","Certified Fresh",79,"Spilled",55,"Lena Dunham","Laurie Simmons","Grace Dunham","Rachel Howe","Alex Karpovsky","Lena Dunham","IFC","http://www.rottentomatoes.com/m/tiny_furniture-2009/"
"Stand Up Guys","Feature Film","Fisher Stevens",6.5,95,"2012",42906,"2012-09","http://www.imdb.com/title/tt1389096/","1389096","Stand Up Guys",2013,"Drama","R","94","Rotten",38,"Spilled",46,"Al Pacino","Christopher Walken","Alan Arkin","Julianna Margulies","Addison Timlin","Fisher Stevens","Lionsgate","http://www.rottentomatoes.com/m/stand_up_guys/"
"Hamlet, Prince of Denmark","TV Movie","Rodney Bennett",8.1,210,"1980",441,"1980-05-25","http://www.imdb.com/title/tt0080835/","0080835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lost River","Feature Film","Ryan Gosling",5.8,95,"2014",8461,"2014-05-20","http://www.imdb.com/title/tt2366608/","2366608","Lost River",2015,"Mystery & Suspense","R","105","Rotten",30,"Spilled",41,"Christina Hendricks","Saoirse Ronan","Iain De Caestaecker","Eva Mendes","Rob Zabrecky","Ryan Gosling","Warner Bros. Pictures","http://www.rottentomatoes.com/m/lost_river_2015/"
"Renaldo and Clara","Feature Film","Bob Dylan",6.6,235,"1978",386,"1978-01-25","http://www.imdb.com/title/tt0078151/","0078151","Renaldo and Clara",1978,"Drama","R","232","Rotten",40,"Upright",70,"Bob Dylan","Jack Elliott","Joan Baez","Ronnie Hawkins","Sara Dylan","Bob Dylan",NA,"http://www.rottentomatoes.com/m/renaldo_and_clara/"
"The Transformers: The Movie","Feature Film","Nelson Shin",7.3,84,"1986",30872,"1986-08-08","http://www.imdb.com/title/tt0092106/","0092106","The Transformers - The Movie",1986,"Animation","PG","84","Rotten",53,"Upright",88,"Eric Idle","Gregg Berger","Jack Angel","Judd Nelson","Leonard Nimoy","Nelson Shin","De Laurentiis Entertainment Gr","http://www.rottentomatoes.com/m/transformers_the_the_movie/"
"The Medusa Touch","Feature Film","Jack Gold",7.1,105,"1978",3619,"1978-04-14","http://www.imdb.com/title/tt0077921/","0077921","The Medusa Touch",1978,"Drama","PG","110",NA,-1,"Upright",74,"Richard Burton","Lino Ventura","Lee Remick","Harry Andrews","Marie-Christine Barrault","Jack Gold",NA,"http://www.rottentomatoes.com/m/medusa_touch/"
"The Drowning Pool","Feature Film","Stuart Rosenberg",6.5,108,"1975",3248,"1975-06-25","http://www.imdb.com/title/tt0072912/","0072912","The Drowning Pool",1975,"Drama","PG","108","Rotten",50,"Spilled",50,"Paul Newman","Joanne Woodward","Anthony Franciosa","Murray Hamilton","Gail Strickland","Stuart Rosenberg","WARNER BROTHERS PICTURES","http://www.rottentomatoes.com/m/drowning_pool/"
"The Taking of Pelham One Two Three","Feature Film","Joseph Sargent",7.7,104,"1974",18793,"1974-09","http://www.imdb.com/title/tt0072251/","0072251","The Taking of Pelham One Two Three",1974,"Drama","R","104","Fresh",100,"Upright",88,"Walter Matthau","Robert Shaw","Martin Balsam","Hector Elizondo","Earl Hindman","Joseph Sargent","United Artists","http://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three/"
"From Within","Feature Film","Phedon Papamichael",5.7,89,"2008",5452,"2008-04-25","http://www.imdb.com/title/tt1063056/","1063056","From Within",2009,"Horror","R","90",NA,-1,"Spilled",41,"Elizabeth Rice","Thomas Dekker","Adam Goldberg","Kelly Blatz","Laura Allen","Phedon Papamichael","After Dark Films","http://www.rottentomatoes.com/m/from_within/"
"Trial and Error","Feature Film","Jonathan Lynn",5.7,98,"1997",5119,"1997-05-30","http://www.imdb.com/title/tt0120373/","0120373","Trial and Error",1997,"Comedy","PG-13","98","Rotten",43,"Spilled",30,"Michael Richards","Jeff Daniels","Charlize Theron","Alexandra Wentworth","Jessica Steen","Jonathan Lynn","New Line Home Entertainment","http://www.rottentomatoes.com/m/1077494-trial_and_error/"
"The Dean Martin Celebrity Roast: Frank Sinatra","TV Special","Greg Garrison",8,100,"1978",111,"1978-02-07","http://www.imdb.com/title/tt0488826/","0488826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epic","Feature Film","Chris Wedge",6.7,102,"2013",80674,"2013-05-15","http://www.imdb.com/title/tt0848537/","0848537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fear Island","TV Movie","Michael Storey",5.2,95,"2009",2924,"2009-09-08","http://www.imdb.com/title/tt1109583/","1109583","Fear Island",2009,"Mystery & Suspense","R","95",NA,-1,"Spilled",37,"Lucy Hale","Haylie Duff","Aaron Ashmore","Kyle Schmid","Anne Marie Deluise","Michael Storey",NA,"http://www.rottentomatoes.com/m/fear_island/"
"Night of the Creeps","Feature Film","Fred Dekker",6.8,88,"1986",13613,"1986-08-22","http://www.imdb.com/title/tt0091630/","0091630","Night of the Creeps",1986,"Horror","R","90","Fresh",69,"Upright",70,"Jason Lively","Steve Marshall","Jill Whitlow","Tom Atkins","Wally Taylor","Fred Dekker","TriStar Pictures","http://www.rottentomatoes.com/m/night_of_the_creeps/"
"In Her Shoes","Feature Film","Curtis Hanson",6.5,130,"2005",49856,"2005-09-14","http://www.imdb.com/title/tt0388125/","0388125","In Her Shoes",2005,"Drama","PG-13","90","Certified Fresh",75,"Upright",66,"Cameron Diaz","Toni Collette","Shirley MacLaine","Mark Feuerstein","Ken Howard","Curtis Hanson","20th Century Fox","http://www.rottentomatoes.com/m/in_her_shoes/"
"Dracula A.D. 1972","Feature Film","Alan Gibson",5.9,96,"1972",3412,"1972-06-26","http://www.imdb.com/title/tt0068505/","0068505","Dracula A.D. 1972",1972,"Classics","PG","95","Rotten",25,"Spilled",41,"Stephanie Beacham","Marsha Hunt","David Andrews","Lally Bowers","Janet Key","Alan Gibson","Warner Bros. Pictures","http://www.rottentomatoes.com/m/dracula_ad_1972/"
"Larry the Cable Guy: Health Inspector","Feature Film","Trent Cooper",3.1,89,"2006",9033,"2006-03-24","http://www.imdb.com/title/tt0462395/","0462395","Larry the Cable Guy: Health Inspector",2006,"Comedy","PG-13","89","Rotten",5,"Spilled",51,"Larry The Cable Guy","Iris Bahr","Bruce Bruce","Joanna Cassidy","Brooke Dillman","Trent Cooper","Lions Gate Films","http://www.rottentomatoes.com/m/larry_the_cable_guy_health_inspector/"
"Wicked","Feature Film","Stephen Daldry",NA,NA,"????",NA,"","http://www.imdb.com/title/tt1262426/","1262426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Only God Forgives","Feature Film","Nicolas Winding Refn",5.7,90,"2013",76507,"2013-05-22","http://www.imdb.com/title/tt1602613/","1602613","Only God Forgives",2013,"Drama","R","89","Rotten",40,"Spilled",37,"Luke Evans","Yayaying","Kristin Scott-Thomas and Rowan Atkinson","Ryan Gosling","Kristin Scott Thomas","Nicolas Winding Refn","Radius-TWC","http://www.rottentomatoes.com/m/only_god_forgives_2013/"
"The Brood","Feature Film","David Cronenberg",6.9,92,"1979",16708,"1979-05-25","http://www.imdb.com/title/tt0078908/","0078908","The Brood",1979,"Science Fiction & Fantasy","R","92","Fresh",78,"Upright",68,"Oliver Reed","Samantha Eggar","Art Hindle","Cindy Hinds","Henry Beckman","David Cronenberg",NA,"http://www.rottentomatoes.com/m/brood/"
"40 Carats","Feature Film","Milton Katselas",6.3,110,"1973",479,"1973-06-28","http://www.imdb.com/title/tt0070068/","0070068","40 Carats",1973,"Romance","PG","108",NA,-1,"Upright",62,"Liv Ullmann","Edward Albert","Gene Kelly","Edward Albert Jr.","Deborah Raffin","Milton Katselas","Sony Pictures Entertainment","http://www.rottentomatoes.com/m/40_carats/"
"Jack Frost","Feature Film","Troy Miller",5.2,101,"1998",22608,"1998-12-05","http://www.imdb.com/title/tt0141109/","0141109","Jack Frost",1998,"Drama","PG","101","Rotten",20,"Spilled",39,"Michael Keaton","Kelly Preston","Mark Addy","Joseph Cross","Henry Rollins","Troy Miller","Warner Bros. Pictures","http://www.rottentomatoes.com/m/1090089-jack_frost/"
"Secret of the Wings","Feature Film","Bobs Gannaway, Peggy Holmes",7.2,75,"2012",7323,"2012-08-16","http://www.imdb.com/title/tt1217213/","1217213","Secret of the Wings",2012,"Action & Adventure","G","92","Rotten",58,"Upright",78,"Mae Whitman","Anjelica Huston","Lucy Hale","Raven","Lucy Liu","Bobs Gannaway","Walt Disney Pictures","http://www.rottentomatoes.com/m/secret_of_the_wings/"
"Reykjavik","Feature Film","Baltasar Kormákur",NA,NA,"????",NA,"","http://www.imdb.com/title/tt1352847/","1352847","Reykjavik",2016,"Drama","Unrated","",NA,-1,NA,0,"Michael Douglas","Christopher Waltz","Christoph Waltz",NA,NA,"Mike Newell",NA,"http://www.rottentomatoes.com/m/reykjavik/"
